Feature,Coefficient,Std_Error,Z_Statistic,P_Value,Significance
Intercept,-0.475453208501555,0.00421210566839588,-112.87779698143814,0.0,***
Elevation,1.7321011323452578,0.006075603300385706,285.0912159184745,0.0,***
Aspect,-0.029514601387311892,0.005502109570292356,-5.364233665332773,8.129361184217032e-08,***
Slope,-0.17695161950270064,0.010050630430460037,-17.60602190350374,0.0,***
Horizontal_Distance_To_Hydrology,-0.5003903381524067,0.00544460581628854,-91.90570539659583,0.0,***
Vertical_Distance_To_Hydrology,-0.0814273208913,0.005491229297521767,-14.828614228156301,0.0,***
Horizontal_Distance_To_Roadways,-0.09903367132091515,0.0042337453504580486,-23.391504004887942,0.0,***
Horizontal_Distance_To_Fire_Points,0.02141545455474904,0.0044373786775464144,4.82614987607738,1.3919777168691638e-06,***
Hillshade_9am,0.0735910873354237,0.04141162381291816,1.7770635526846286,0.07555778403027236,
Hillshade_Noon,-0.6685405304508701,0.024963944076009742,-26.78024467669494,0.0,***
Hillshade_3pm,0.3776452933877239,0.04912550994011384,7.6873561994183905,1.509903313490213e-14,***
